SMILES,logBCF
O=[N+]([O-])c1cc(c(c(c1)[N+](=O)[O-])C)[N+](=O)[O-],0.99
O=C1C=CC(=NN1c2ccccc2)OP(OCC)(OCC)=S,0.77
O=C(NCc1ccc(cc1)C(C)(C)C)c2c(c(nn2C)CC)Cl,1.14
Oc1ccc(cc1[N+](=O)[O-])C,0.96
n1cnn(c1)CC2(OCC(O2)C)c4ccc(Oc3ccc(cc3)Cl)cc4Cl,2.5
N#Cc1c(cccc1Cl)Cl,2
Oc1c(cc(cc1Cc1c(c(cc(c1)C)C(C)(C)C)O)C)C(C)(C)C,2.67
OC(c1ccccc1)c2ccc(cc2)Cl,1.82
O=C(c1ccccc1)c1ccccc1,1.01
c1c2c(ccc1)CCCC2,2.5
O=C(OCC1OCCC1)C(Oc4ccc(Oc2nc3ccc(cc3(nc2))Cl)cc4)C,2.53
Cc1c(ccc(c1)c1cc(c(cc1)N)C)N,1.64
N#Cc1nn(c(N)c1S(=O)C(F)(F)F)c2c(cc(cc2Cl)C(F)(F)F)Cl,2.51
N#Cc2nc(c(c1ccc(cc1)C)n2S(=O)(=O)N(C)C)Cl,2.46
c1c2c(cc3c1cccc3)cccc2,3.26
O=C(ON=C2C=CC(=NOC(=O)c1ccccc1)C=C2)c3ccccc3,0.43
C(N1CCCCC1)(=S)SSSSC(N2CCCCC2)=S,1.18
Nc1cc(ccc1OC)C,0.69
C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3,1.29
Clc1c(ccc(c1)Cl)Cl,3.19
Clc1c(ccc(c1)Cl)O,1.71
n1cnc3ccccc3(c1OCCc2ccc(cc2)C(C)(C)C),2.84
O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C,0.9
N(C(NC1CCCCC1)=S)C2CCCCC2,0.65
CCN(CC)CC,0.45
n1c(nc(cc1C)C2CC2)Nc3ccccc3,2.59
CN(c1ccccc1)C,0.96
O=[N+]([O-])c1cccc(c1)Cl,1.89
O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S,1.26
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,0.3
OC(=O)c1cccc(c1)[N+](=O)[O-],0.6
N#Cc2ccc(Oc1ccc(OC(C(=O)OCCCC)C)cc1)c(F)c2,0.88
S=P(Oc1cc(c(cc1)[N+](=O)[O-])C)(OC)OC,1.89
CC(CN(CC(C)O)CC(C)O)O,-0.49
CC1COCc2c1cc1c(c2)C(C(C1(C)C)C)(C)C,3.02
O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC)CCCCCCCC=CCCCCCCCC,2.54
n1c(nc(nc1NCC)Cl)NCC,0.84
N(c1ccccc1)c1ccccc1,2.24
Nc1c(cc(cc1Cl)c1cc(c(c(c1)Cl)N)S(=O)(=O)O)S(=O)(=O)O,-0.1
CC(CC(=CC(C)(C)C)C)(C)C,3.29
CC1OC(OC(O1)C)C,0.28
C1COCCO1,-0.29
CCCCCCCC=C,3.18
O=P(Oc1ccccc1)(Oc1ccccc1)OCC(CCCC)CC,2.59
Fc3ccc(Oc2ccnc1cc(cc(c12)Cl)Cl)cc3,3.7
OC3(Cn1ncnc1)(C(Cc2ccc(cc2)Cl)CCC3(C)(C)),2.11
CC(CO)(CO)C,0.42
O=S1(=O)CCCC1,0.62
OC(c2cccc1nnsc12)=S,2.07
CC(C=C(CC(C)C)C)C,3.29
O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br,0.45
O=P(OCCCC)(OCCCC)OCCCC,1.38
O=C(Nc1ccc(O)c(c1Cl)Cl)C2(C)(CCCCC2),2.2
ClC(=C(Cl)Cl)Cl,1.78
O=C(O)C(C)(Cl)Cl,0.76
O=C(O)C2(C)(CCCC3(C)(C1C(=CC(C=C)(C)CC1)CCC23)),1.92
O=[N+]([O-])c1cccc(c1)S(=O)(=O)O,0.7
ClC(Cl)(Cl)C(COCC(C(Cl)(Cl)Cl)Cl)Cl,3.39
Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C,3.12
O=C(OCC)C(Cc1cc(c(F)cc1Cl)N2N=C(N(C2(=O))C(F)F)C)Cl,2.25
OS(=O)(=O)c1c(c2c(c(c1)N)C(=O)c1c(c(cc(c1O)S(=O)(=O)O)N)C2=O)O,0.31
c1c2c3c4c(c1)cccc4ccc3ccc2,2.97
O=C1c2c(cccc2O)C(=O)c2c1cccc2,2.31
O=C(OCC)COc1cc(c(F)cc1Cl)c2nn(c(OC(F)F)c2Cl)C,0.38
Clc1c(cccc1)c1c(cccc1)Cl,3.64
CCOP(=S)(SCSC(C)(C)C)OCC,2.73
O=C1c2c(ccc(c2)Cl)C(=O)c2c1cccc2,2.31
ClC(CCl)(CCl)Cl,1.6
N#Cc1c[nH]cc1c3cccc2OC(F)(F)Oc23,2.56
CC(CCCC(CCCC)C)C,3.18
O=C(c1c(cc(cc1)OC)O)c1ccccc1,2.03
O=C4OC(c2ccc(Oc1ccccc1)cc2)(C(=O)N4(Nc3ccccc3))C,3.48
O=C(OCC)C1CC(=O)C(C(=O)C1)=C(O)C2CC2,0.78
O=S(=O)(O)c2cc1c(cccc1C(C)C)cc2C(C)C,0.6
c1cccc2c1c1ccccc1o2,3.19
c1c2c3c(sc2ccc1)cccc3,3.11
O=P(OCC)(OCC)SCc1ccccc1,1.51
O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl,1.98
O=C1c2ccccc2(C(=O)N1SC(Cl)(Cl)Cl),1.75
O([Sn](CC(c1ccccc1)(C)C)(CC(c2ccccc2)(C)C)CC(c3ccccc3)(C)C)[Sn](CC(c4ccccc4)(C)C)(CC(c5ccccc5)(C)C)CC(c6ccccc6)(C)C,2.86
O=C1N(C(=O)C3C1C2(C=CC3(CC2)C(C)C)(C))CC(CC)CCCC,3.07
Fc1ccc(cc1)C3(OC3(c2ccccc2Cl))(Cn4ncnc4),1.84
O=C(OC(C)(C)C)c1ccc(cc1)CON=Cc3c(nn(c3(Oc2ccccc2))C)C,3.2
Nc1c2c(ccc1)cccc2,1.44
O=C(Nc1cc2cc(cc(c2cc1)O)S(=O)(=O)O)Nc1cc2cc(cc(c2cc1)O)S(=O)(=O)O,0.02
O=C(c1cc(ccc1)C)N(CC)CC,0.34
Oc1ccc(cc1)C(=C)CC(c2ccc(O)cc2)(C)C,1.59
CC(CC(CC(C)(C)C)C)(C)C,3.1
Cc1ccc(cc1Cc1ccccc1)C,3.23
C2(=C(C3(C1CCC4C(CCC1C2(C3(Cl)Cl)Cl)C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,2.03
c1c2c(ccc1Nc1ccccc1)cccc2,2.38
O=C2c4cc(F)ccc4(N=C(n1ncnc1)N2c3ccc(cc3Cl)Cl),1.94
Brc1c(c(c(c(c1c1c(c(c(c(c1Br)Br)Br)Br)Br)Br)Br)Br)Br,0.67
O=P(OC(CCl)C)(OC(CCl)C)OC(CCl)C,0.69
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,1.18
O=C(Oc1cccc(c1)NC(=O)OCC)Nc2ccccc2,2.2
O=C(Oc1cccc(c1)NC(=O)OC)Nc2cccc(c2)C,2.22
C(N(C)C)(=S)SSC(N(C)C)=S,0.54
O=C(Nc1ccc(F)cc1)c3nc(Oc2cccc(c2)C(F)(F)F)ccc3,2.76
O=C1c2c(ccc(c2)CCCCC)C(=O)c2c1cccc2,3.02
Oc1ccc(cc1)C(C)(C)CC(C)(C)C,2.46
O=C(OC(C)C)NC(C(=O)NC(c1ccc(cc1)C)C)C(C)C,1
O=C(c1cnoc1C2CC2)c3ccc(cc3S(=O)(=O)C)C(F)(F)F,1.04
O=C(OC)C(=NOC)c1ccccc1CON=C(c2cccc(c2)C(F)(F)F)C,2.63
CCc1cc(ccc1)CC,2.77
O=C(N(c1ccc(F)cc1)C(C)C)COc2nnc(C(F)(F)F)s2,1.85
O=C(OCC)C(=Cc1cc(ccc1Cl)N2C(=O)C3=C(C2(=O))CCCC3)Cl,1.38
CCCCOCCCC,1.89
O=C(OC)C(=NOC)c1ccccc1COc2ccccc2C,2.34
O=C1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,3.19
CC(C(C(C)C)O)(CO)C,-0.16
O=S(=O)(Nc1c(F)cccc1(F))c2nc3c(F)cnc(OC)n3(n2),0.18
O=C(O)C2C1OC(CC1)C2(C(=O)O),-0.4
CC(c1cc(cc(c1)C(C)(C)C)C(C)(C)C)(C)C,4.38
CCCC[Sn](CCCC)(CCCC)Cl,3.3
CCCC[Sn](CCCC)(CCCC)CCCC,2.27
NCc1cc(ccc1)CN,0.19
c1ccc(cc1)C[N+](C)(C)C,0.18
S=P(ON=C(c1ccccc1)C#N)(OCC)OCC,2.89
O=C1OC3(C(OC(=O)C(C)(C)CC)=C1c2cc(cc(c2)Cl)Cl)(CCCCC3),0.15
OS(=O)(=O)c1c(cc2c(c1)cc(cc2)S(=O)(=O)O)O,0.3
n1cscc1c2nc3ccccc3([nH]2),1.98
OC1CC(C)CCC1(C(C)C),1.04
SC1=Nc2c(cccc2)S1,0.65
O=C(NC)C(=NOC)c1ccccc1COc2cc(ccc2C)C,1.68
O=C(O)c1nc(cc(N)c1Cl)Cl,2
O=C1CCCCC1C2=CCCCC2,0.65
CC1CC(C)(C)c2c(C1(C)C)cc(c(c2)C(=O)C)C,2.78
O=C2C(=Cc1ccccc1)C3CCC2(C)C3(C)(C),2.47
OCc1c(cccc1Cl)Cl,0.43
O=C(N(CC)CC)C(Oc1cccc2ccccc12)C,1.99
C[N+]1(C)(CCCCC1),0.3
Fc1cccc(F)c1C3=NC(c2ccc(cc2(OCC))C(C)(C)C)CO3,3.46
FC(F)C(F)(F)Oc1ccc(cc1)C(c2ccc(OC(F)(F)C(F)F)cc2)(C)C,4.35
O=C(NC(C(=O)CCl)(C)CC)c1cc(c(c(c1)Cl)C)Cl,2.06
O=C(Oc2cccc1c2(OC(C)(C)C1))NC,1.08
CCOc1ccc(cc1)N,0.76
Cc1c(ccc(c1)Cl)O,1.28
O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F,3.44
Clc1c(cc(c(c1)Cl)Cl)c1ccccc1,3.88
Oc1ccc2c(c1N=Nc1cc(c(cc1S(=O)(=O)O)Cl)C)cccc2,1.07
c2cc(c(c1c(cccc1Cl)Cl)c(c2)Cl)Cl,3.85
O=C(N(c1c(cccc1CC)CC)COC)CCl,1.12
OC(=O)c1cc2ccccc2c(c1O)N=Nc1ccc(cc1S(=O)(=O)O)C,0.84
O=S(=O)(O)c5cc(ccc5(C=Cc1ccc(cc1S(=O)(=O)O)Nc2nc(nc(n2)N3CCOCC3)Nc4ccccc4))Nc6nc(nc(n6)N7CCOCC7)Nc8ccccc8,1.1
O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2cccc(OC)c2C,1.04
CC=C1C2CC(C1)C=C2,2.05
O=P(OCC=C)(OCC=C)OCC=C,0.01
N(C)(C)C1CSSC1,1.73
O(C)C(C)(C)C,0.18
O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC,0.05
OC(=O)C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2.65
Clc1c(cccc1Cl)c1ccccc1,3.85
Clc1c(cc(cc1)Cl)c1ccc(cc1)Cl,4.09
O(c1cc(c(c(c1(OC))Cl)Cl)Cl)C,3.5
CC(CC1CCCCC1)C,3.3
O=C(O)C1CCCCC1(C(=O)O),0.05
N#Cc1cc(c(O)c(c1)I)I,1.46
O=C(O)c1nc(ccc1Cl)Cl,0
O=S(=O)(O)OCCS(=O)(=O)c4ccc(N=Nc1c(O)c3c(cc1S(=O)(=O)O)cc(c(N=Nc2ccc(cc2)S(=O)(=O)CCOS(=O)(=O)O)c3(N))S(=O)(=O)O)cc4,0.79
O=P(OCC)(Sc1ccccc1)Sc2ccccc2,1.51
Clc1ccc(cc1)C(=C)C,2.87
CCC(CCCCCC)CC,3.32
O=C(OC)N(C(=O)N2N=C3c1ccc(cc1CC3(OC2)(C(=O)OC))Cl)c4ccc(OC(F)(F)F)cc4,2.72
O=C(O)C2(C)(CCCC3(c1ccc(cc1CCC23)C(C)C)(C)),2.12
O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl,4.79
O=C(Nc1ccc(cc1)Cl)N(OC)C,1.15
O=C(OC)N(OC)c1ccccc1COc2nn(cc2)c3ccc(cc3)Cl,2.85
O=C(NCC=C)c1c(c(C)sc1[Si](C)(C)C)C,1.99
FC(C(C(C(C(C(C(C(S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,3.73
O=[N+]([O-])c1ccc(c(c1Cl)Cl)Cl,2.2
OP(O)c1ccccc1,0.36
O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC),1.43
O=C(NC(=NOCC1CC1)c2c(F)c(F)ccc2C(F)(F)F)Cc3ccccc3,2.72
OCc1ccc(c(c1)Cl)Cl,0.51
Oc1ccc(cc1)CCCCCCCC,2.28
O(c1cc(c(cc1Cl)I)Cl)P(OC)(OC)=S,3.62
O(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C,4.16
c1ccc2c(c1)c(ccc2Cl)Cl,3.75
Clc1c(c(c(c(c1c1ccccc1)Cl)Cl)Cl)Cl,4.85
Clc1cc(cc(c1Oc1ccc(cc1)[N+](=O)[O-])Cl)Cl,3.31
CC1CC(CC(C1)C)C,3.34
O=C(c1c(cc(cc1)OCCCCCCCC)O)c1ccccc1,2.01
O=C(OC)c1c(c(c(C(=O)OC)c(c1Cl)Cl)Cl)Cl,3.41
O=[N+]([O-])c1cc(cc(c1N(CC)CCCC)[N+](=O)[O-])C(F)(F)F,3.2
O=[N+]([O-])c1c(cc(cc1Cl)Cl)Cl,2.6
n1oc(cc1OP(OCC)(OCC)=S)c2ccccc2,2.74
O=C1c2cc(ccc2(N=C(OCCC)N1CCC))I,2.91
N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl,1.53
O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])S(=O)(=O)N,1.88
n1c(nc(nc1NC(C)C)Cl)NCC,0.73
O=C(O)c1nc(c(c(N)c1Cl)Cl)Cl,-1.7
O=C(N(c1ccccc1)C(C)C)CCl,1.57
O=C(O)C2=NN(C(=O)C2(N=Nc1ccc(cc1)S(=O)(=O)O))c3ccc(cc3)S(=O)(=O)O,0.23
O1c3cc(c(c(c3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl)Cl,3.92
O=C(O)C2(C)(CCCC3(C1=C(C=C(CC1)C(C)C)CCC23)(C)),1.4
O=C1OC(=NN1c2cc(OC(C)C)c(cc2Cl)Cl)C(C)(C)C,2.49
CCCCC(CCC=C)CC,3.43
c1ccc2c3c1c1c4c(cccc4ccc1)c3ccc2,2.38
Clc1c(c(c(c2c1cccc2)Cl)Cl)Cl,3.52
O=C(N(CC(C)C)CC(C)C)SCC,2.61
c1ccc2cc(ccc2(c1))C(C)C,4.11
O=C(Oc1cc(c(c(c1)C)SC)C)NC,1.88
Cc1ccc(cc1[N+](=O)[O-])O,1.02
Clc1cccc(c1)c1cccc(c1)Cl,2.63
c1cc(ccc1c2ccc(cc2)Cl)Cl,3.58
c2cc1cccc(c1c(c2)Cl)Cl,3.79
Oc1c(cc(c2c1cccc2)Cl)Cl,1.19
c2(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,4.24
Clc1ccc(cc1)c1ccccc1,2.43
c1ccc2c3c1c1ccccc1c3ccc2,3.5
c1cc2cccc3C=Cc(c1)c23,2.48
S=P(c1ccccc1)(Oc1ccc(cc1)[N+](=O)[O-])OCC,2.84
O(c1cc(c(cc1Cl)Br)Cl)P(OC)(OC)=S,2.12
O=C(c1cnn(c1(O))C)c3ccc(c(C2=NOCC2)c3C)S(=O)(=O)C,-0.52
CC(C)(C)C1=NN=C(N(C1=O)N)SC,1.02
N1C(NC(C)C1)=S,1
c2c(c(c(c1c(c(cc(c1Cl)Cl)Cl)Cl)c(c2Cl)Cl)Cl)Cl,5.82
N#CSCSC1=Nc2ccccc2S1,2.07
O(c1cc(c(cc1Cl)Br)Cl)P(OC)(c2ccccc2)=S,3.78
O=C(Nc1cccc(c1)C(F)(F)F)N(C)C,1.61
CC(COc1ccc2c(c1)cccc2)C,2.87
c1cccc2c1c1ccccc1c1c2cccc1,2.41
c1cc2ccccc2c2ccc3c(c12)cccc3,2.24
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.46
O=C(c1c(OC)c(OC)c(OC)cc1C)c2c(OC)ccc(c2C)Br,2.72
COc1cccc2c1cccc2,2.26
O=P(Oc1ccc(c(c1)C)SC)(OCC)NC(C)C,2.04
c12(c(c(c(c(c1Cl)Cl)Cl)Cl)c(c(c(c2Cl)Cl)Cl)Cl),2.58
Nc1c2c(ccc1)c(ccc2)N,0.46
n1c4ccccc4(cc3c1ccc2ccccc23),2.02
O=[N+]([O-])c1ccc(OP(=O)(OC)OC)cc1C,0.44
n3c5ccc1ccccc1c5(cc4ccc2ccccc2c34),2.03
CC(C1CCC(CC1)C(C)C)C,3.5
C#CCC1=C(C)C(CC1=O)OC(=O)[C@H]1[C@@H](C1(C)C)C=C(C)C,3.06
O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl,3.15
O=C2Oc1cc(ccc1N2CSP(OCC)(OCC)=S)Cl,2.26
O=C(Oc1nc(nc(c1C)C)N(C)C)N(C)C,1.38
O=S(OCC#C)OC2CCCCC2(Oc1ccc(cc1)C(C)(C)C),4.14
O=C(ON=C(C(=O)N(C)C)SC)NC,0.3
O=C(N(c1c(cccc1CC)CC)COCCCC)CCl,0.38
OC1(C)(CC2CCC1(C)C2(C)(C)),1.48
Cc1c2c3c4c(cccc4ccc3cc1)cc2,2.73
C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,4.31
OS(=O)(=O)c1c(ccc(c1)Cl)Oc1c(cc(cc1)Cl)NC(=O)Nc1cc(c(cc1)Cl)Cl,1.9
c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl,4.39
N(=C(N)N)CCCCCCCCCCCC,1.2
C1(=C(C2(C(CC1(C2(Cl)Cl)Cl)Cl)Cl)Cl)Cl,4.05
O=C(OCCC)NCCCN(C)C,1.73
O=[N+]([O-])c1ccc(OP(OC)(OC)=S)c(c1)Cl,1.89
N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C,1.07
O=S(=O)(CC)CCSP(OCC)(OCC)=S,0.52
O=S(CC)CCSP(OCC)(OCC)=S,0
O=C1c2c(ccc3c2cccc3)C(=O)c2c1cccc2,1.63
O=C1c2ccccc2(NS(=O)(=O)N1C(C)C),1.32
Oc1ccc(cc1)C(C)CC(C)CC(C)C,2.19
O=[N+]([O-])c1ccccc1[N+](=O)[O-],1.16
O=C(OC(C)C)c1ccccc1(OP(OCC)(NC(C)C)=S),2.12
c1ccc3c(c1)ccc2cc(ccc23)C,3.48
c1ccc(c(c1)C(C)C)C(C)C,3.26
O=[N+]([O-])c1cccc(c1[N+](=O)[O-])C,1.09
CC(CCCCCCCO)C,2.51
Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl,2.56
Cc1ccc(c(c1)C(C)(C)C)O,2.87
O=S(=O)(O)c2cccc1ccc(cc12)CCCC,0.18
OS(=O)(=O)c1c(c(cc(c1)Cl)N=Nc1c(c2cccc(c2cc1)O)O)O,0.58
Cc1cc(ccc1[N+](=O)[O-])O,1.16
n1c(nsc1OCC)C(Cl)(Cl)Cl,2.22
