SMILES,SM1_Dz(p),SpMaxA_B(s),P_VSA_v_3,P_VSA_p_2,MLOGP2,LOGP99,ESOL,BLTA96,logBCF
OC(=O)C1C(C(O)=O)C2(Cl)C(=C(Cl)C1(Cl)C2(Cl)Cl)Cl,-1.535532997,0.39376097,243.7128264,135.6565404,6.848102181,3.2334999,-4.104915573,-3.846887881,-0.657577319
O=c1[nH]c(=O)[nH]c(=O)[nH]1,-1.85629799,0.829292254,12.82746761,129.4670331,1.533472893,-0.871199861,-0.187854332,0.008334726,-1
CCCCCCCCCCCCOS(=O)(=O)O,-1.687675916,0.457346315,41.80581079,91.95445585,16.30625578,3.726700034,-3.183775194,-5.268100516,-0.03
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-2.174751721,0.558515387,27.22273761,188.4144611,2.031867938,1.837200031,-2.109364023,-2.655436052,0
O=C(O)c1c(Cl)ccc2cc(Cl)cnc12,-1.284981199,0.498552089,131.5872145,84.61379974,7.608831336,3.239799984,-3.734263811,-3.988411017,-0.1
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,-2.104134154,0.6014774,33.94223753,155.5172736,1.945370498,2.254999973,-2.294271639,-2.624765392,-0.15490196
NC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)O,-1.488218981,0.467439013,182.5826767,125.8703847,7.328362923,3.097299919,-3.875186607,-3.937094923,-0.52
O=C(O)COc1nc(c(cc1Cl)Cl)Cl,-1.530805876,0.534056906,147.3120319,95.61368763,4.99297106,2.505199932,-3.2662454,-3.464495706,-0.1
O=C(NC1CCCCC1)NC1CCCCC1,-1.223775432,0.464345163,29.62113993,61.1664284,5.277151021,2.951000109,-3.128388859,-3.527205046,-0.15
O=S(=O)(O)c1c(Cc2ccc3ccccc3c2S(=O)(=O)O)ccc2ccccc12,-2.003343128,0.267991747,138.6920228,166.8180841,11.30306631,4.077200039,-5.033709195,-4.592003318,-0.044595133
C[S](C)=O,-0.59161267,1.850091322,33.51347765,22.15647604,0.100773608,-0.00529999,-0.374997362,-0.912551409,-0.397940009
CCCCCCCCCCCCSP(=O)(SCCCCCCCCCCCC)SCCCCCCCCCCCC,0.401791703,0.180034791,195.3627448,20.26321783,88.16746556,16.0568,-10.13887058,-10.61975322,-0.4
O=C(O)COc1ccc(cc1C)Cl,-1.483262257,0.575137894,93.83445968,78.82815808,4.352756748,2.111819997,-2.716829124,-3.316326136,0
OC(=O)c1ccc(Cl)c(Cl)c1,-1.103467151,0.679840075,117.822693,67.82827019,8.333157887,2.69159998,-3.240822753,-4.116720958,-0.698970004
O=C(O)C1(C(=O)Nc2ccc(Cl)cc2Cl)CC1,-1.571652968,0.44008412,127.167579,110.9839479,5.377340615,2.796699964,-3.313671659,-3.548909359,-0.4
OC(=O)c1ccc2cc(ccc2c1)C(O)=O,-1.757857918,0.467539504,70.19431245,135.6565404,5.83118709,2.236200064,-2.919455169,-3.644785102,-0.22184875
O=C(O)C2C1OC(CC1)C2(C(=O)O),-1.945910149,0.57549098,6.888812424,146.6564283,0.003441414,-0.050799944,-0.857503775,-1.171336434,-0.4
CC(C)[N+]([O-])=O,-1.386294361,1.302190782,17.65040852,56.41696522,0.530434295,1.19470001,-1.168920931,-1.958309203,0.041392685
O=C(O)c1nc(c(c(N)c1Cl)Cl)Cl,-1.391754428,0.575269492,133.942294,117.5109872,1.252408022,2.322200008,-2.879018986,-2.349110371,-1.7
NCCNCCNCCN,-1.223775432,0.447968239,12.63422605,101.8158763,0.878504227,-1.916999996,0.953969393,-0.292714437,-0.3
n1c(nc(nc1N)NC2CC2)N,-1.526056303,0.434963666,10.76634176,134.1617143,1.4881583,-0.389699943,-1.309488697,-2.449900939,0
O=C(c1cnn(c1(O))C)c3ccc(c(C2=NOCC2)c3C)S(=O)(=O)C,-2.129052797,0.308690483,87.76799574,161.199426,4.445568477,1.193020027,-3.166586321,-3.338451678,-0.52
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,-2.468099531,0.37419488,16.27372394,277.5617086,1.845312367,-2.071199864,0.285392965,0.12842275,0.1
CC(C)(C)C(=O)O,-1.223775432,1.068175737,27.38548726,67.82827019,0.991242227,1.117100038,-1.360167799,-2.225611484,0.1
O=P(O)c1ccccc1,-1.059455573,0.824591831,67.82635536,57.39506826,1.813781942,0.778899975,-1.592379411,-2.576767219,-0.397940009
OC(=O)C1C(CC=CC1)C(=O)O,-1.757857918,0.623444163,25.84130737,135.6565404,0.399761979,0.738000065,-1.333459458,-1.862267332,0.05
COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2OCCCl)n1,-2.242219188,0.296810519,129.6940511,176.2299916,3.641333394,1.316619943,-3.216081833,-3.138227815,0.11
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,-1.687675916,0.453788227,84.95740876,129.6796384,4.248733387,1.930599968,-3.107054477,-3.291245591,-0.7
CC1OC(C)OC(C)O1,-1.526056303,0.535163205,27.5543093,32.99966366,0.485174752,1.087800018,-1.28026205,-1.926544867,-0.52
CNc1ccc(cc1)C(=O)O,-1.386294361,0.679839565,53.15356374,85.83902088,2.148371872,1.426500008,-1.928811171,-2.695732538,0.07
COP(=O)(NC(C)=O)SC,-1.456682925,0.743537728,69.8711884,65.6698718,0.575925943,1.24000001,-0.898898233,-0.471102152,-1.28
O=S(=O)(O)c1cc(S(=O)(=O)O)c2cc(O)ccc2c1,-2.153365568,0.409087811,58.30668003,209.5014273,0.202826701,1.038800015,-2.320121621,-1.680362855,-1
OCCN1C(=O)N(CCO)C(=O)N(CCO)C1=O,-2.302585093,0.414426837,19.14458064,212.8577523,1.539133586,-1.757099837,0.055981112,0.010618228,-0.795880017
Cc1ccccc1S(=O)(=O)O,-1.436726034,0.706177309,52.80552606,83.40904206,1.402568195,1.241720009,-2.055644504,-2.41430072,-0.7
OC(=O)c1c(Cl)cccc1Cl,-1.103467151,0.679842896,117.822693,67.82827019,8.333157887,2.69159998,-3.240822753,-4.116720958,-0.698970004
O=C(O)c1c(Cl)cccc1Cl,-1.103467151,0.679842896,117.822693,67.82827019,8.333157887,2.69159998,-3.240822753,-4.116720958,-0.22
CCOP(=O)(OCC)OCC,-1.664834776,0.672447859,56.81624395,41.0281086,1.832542776,2.203999996,-1.530897739,-2.583714437,-0.21
O=C(Nc1ccc(cc1C)c1cc(c(cc1)NC(=O)CC(=O)C)C)CC(=O)C,-1.945910149,0.265892888,135.1594148,136.6012095,5.014851661,3.805639997,-3.68778606,-3.469386447,-0.03
CC(C)(C)NCCO,-1.029619417,0.783310798,28.58131713,60.69409384,0.498895039,0.366800077,-0.746307407,-1.936325023,-0.22
CC(=O)Nc1ccc(S(=O)(=O)O)cc1,-1.792908808,0.554856226,57.08134859,126.5647198,0.264007399,0.891699988,-1.616559025,-1.743816504,-0.37
O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,-1.535532997,0.39376097,243.7128264,135.6565404,6.848102181,3.2334999,-4.104915573,-3.846887881,-0.66
C[N+](C)(C)Cc1ccccc1,-0.470003629,0.406557927,77.86164725,0,1.29672737,1.892800026,-1.268106006,-0.091260622,-0.7
COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)O)c1,-2.19799095,0.431557741,73.83842503,155.6986719,1.019134603,0.506500039,-1.795964691,-2.239521967,-0.52
NC(=S)N,-0.59161267,1.298913754,45.47655057,65.79437494,2.055751197,-0.811300099,0.041604636,0.203789105,0.05
Cc1ccccn1,-0.470003629,0.675197033,49.05811431,16.78552955,0.715583267,1.390019991,-1.684344762,-2.075921549,-0.06
O=P(OC)(OC)OC,-1.664834776,0.924699151,49.21264874,41.0281086,0.012877432,1.033699989,-0.778653287,-1.343478772,-0.06
Nc1cccnc1,-0.78845736,0.697610158,39.80408265,49.68271702,0.020903693,0.663800031,-1.055061333,-1.085418905,-0.7
COP(=S)(OC)Oc1ccc(S(C)=O)c(C)c1,-1.503766237,0.435207217,148.1417358,42.9213668,2.555484406,2.628519981,-2.94982174,-2.828588254,0.14
O=C(O)c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1N=Nc1ccc(S(=O)(=O)O)cc1,-2.596284028,0.250704193,98.23100831,314.0073166,0.003082339,1.111300028,-2.778273077,-1.285518813,-0.54
O=C(O)c1ccc(Cl)c2c(Cl)ccc(C(=O)O)c12,-1.689099009,0.415637131,136.5403187,135.6565404,12.15336864,3.543000028,-4.163408914,-4.716168189,-0.2
O=C(O)COc1ccc(cc1Cl)Cl,-1.438554688,0.575137965,124.4729311,78.82815808,5.542851557,2.456799962,-3.022315422,-3.584326136,-0.5
O=C(O)C2CC2(C(=O)Nc1ccc(cc1Cl)Cl),-1.571652968,0.439834115,124.6330473,110.9839479,5.377340615,2.652599968,-3.19340146,-3.548909359,-0.4
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1=O,-1.826772625,0.392052523,106.0207267,94.44610588,0.897450348,1.596700023,-2.308919392,-2.177338561,-0.78
Cc1ccccc1[S](N)(=O)=O,-1.282848678,0.702616232,57.27393952,75.6043863,0.605752011,0.642419952,-1.785928825,-2.00830072,-0.045757491
Nc1nnc[nH]1,-1.223775432,0.859589598,10.51768544,83.00873189,0.053503366,-1.094999976,-0.340402767,-0.998692054,-0.02
CNC(=O)CSP(=S)(OC)OC,-1.360617514,0.618915558,113.1151989,56.99893822,0.570717947,0.982900012,-1.113220008,-0.474541234,-0.26
COP(=O)(C(C(Cl)(Cl)Cl)O)OC,-1.548987026,0.616095618,153.8801541,76.7898215,0.239057968,2.16089993,-2.085852407,-1.718935546,-0.39
NNS(=O)(=O)c1ccc(Oc2ccc(S(=O)(=O)NN)cc2)cc1,-2.153365568,0.335650041,101.0131768,197.7400734,0.293306954,-0.217100092,-1.929224047,-1.771578207,-0.52
O=[N+]([O-])c1ccc2nc[nH]c2c1,-1.648658626,0.651242726,44.09235662,89.98802432,1.867906958,1.512399986,-2.176015219,-2.596713927,0.11
COC(=O)Nc1nc2ccccc2[nH]1,-1.648658626,0.531006004,61.73791711,87.7266247,1.105734488,1.259299994,-2.166504892,-2.281539104,-0.1
O=S(=O)(O)c1ccc(Nc2nc(Nc3ccc(C=Cc4ccc(Nc5nc(Nc6cccc(S(=O)(=O)O)c6)nc(N(CCO)CCO)n5)cc4S(=O)(=O)O)c(S(=O)(=O)O)c3)nc(N(CCO)CCO)n2)cc1,-3.251443688,0.108047828,200.3945014,683.3743487,0.58574875,1.770199908,-5.682733284,-1.995342243,-0.4
Nc1cc(S(=O)(=O)O)c(O)c2c1C(=O)c1c(O)c(S(=O)(=O)O)cc(N)c1C2=O,-2.596284028,0.277571804,53.25475842,368.2689994,2.368681174,-0.468999841,-1.838660075,0.309052037,-0.522878745
O=S(c1ccc(OP(OC)(OC)=S)cc1C)C,-1.503766237,0.435207217,148.1417358,42.9213668,2.555484406,2.628519981,-2.94982174,-2.828588254,0.13
O=C(O)c1c(Cl)ccc(Cl)c1Cl,-1.037410417,0.62318974,150.9956962,67.82827019,11.95849913,3.344999962,-3.86690338,-4.688106293,0.07
O=C(Nc1nc(nc(n1)C)OC)NS(=O)(=O)c2ccccc2(OCCCl),-2.242219188,0.296810519,129.6940511,176.2299916,3.641333394,1.316619943,-3.216081833,-3.138227815,0.11
Nc1ccc(S(=O)(=O)O)c2ccccc12,-1.570052386,0.517865136,67.64991811,116.3062295,2.062895737,1.668700065,-2.490874626,-2.666278433,-0.22
O=[N+]([O-])c1cccc(Cl)c1,-1.336920277,0.781490859,83.31098804,56.41696522,6.292940487,2.77139996,-2.905602903,-3.738573397,-0.3
C[C@@H]1CCC[C@H](C)N1,-0.470003629,0.494029119,25.25400374,18.01075068,2.397342006,1.536900058,-1.784011632,-2.778335237,-0.301029996
CCOP(=S)(OCC)SCCS(=O)CC,-1.066605493,0.492943679,134.8405725,35.99973654,0.505280254,2.785699978,-2.131425625,-1.940830679,0
BrC(Br)c1ccccc1OCC2CO2,-0.937660758,0.336933997,147.4269499,21.99977578,7.037308697,3.252600014,-3.911231039,-3.882792622,0.113943352
OC(c1ccccc1)(c1ccccc1)C(=O)O,-1.526056303,0.439943948,102.0434991,110.5116134,5.808093344,2.007100031,-2.965291825,-3.639998619,0.02
CC1(C)CC(O)CC(C)(C)N1,-1.029619417,0.56996797,40.36988053,60.69409384,1.737858894,1.287900083,-1.688982239,-2.548278762,-0.24
OCCO,-1.223775432,1.579614558,0,85.36668632,1.109309644,-1.028999954,0.36280951,-0.176762304,-0.5
OC(=O)c1ccc(nc1)C(O)=O,-1.85629799,0.623431481,35.76198647,152.4420699,0.016690967,0.478000037,-1.20423384,-1.100806475,-0.045757491
O=C(O)c2cc(cnc2(C1=NC(=O)C(N1)(C)C(C)C))COC,-2.028148247,0.339925824,77.54506464,155.5548949,1.924724487,1.217300102,-2.392356416,-2.617344401,-1
O=C(O)c1ccc(c(c1)Cl)Cl,-1.103467151,0.679840075,117.822693,67.82827019,8.333157887,2.69159998,-3.240822753,-4.116720958,0.1
COCCCN,-1.029619417,0.748279356,20.11567837,43.89707536,0.006533101,-0.018400028,-0.100347543,-1.149172402,-0.52
CC(Cc1ccc(cc1)C(C)(C)C)C(O)=O,-1.223775432,0.467294225,83.02136305,67.82827019,12.20800838,3.247300059,-3.557011566,-4.723996048,-0.22184875
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,-1.869460977,0.389318784,89.24978348,74.59916769,8.290837571,3.468319982,-3.192173792,-4.109381456,-0.81
CC(C)(CO)CO,-1.223775432,0.897311516,17.65040852,85.36668632,0.107985507,-0.002799943,-0.55827747,-1.558611484,-0.42
CCCCc1ccc2ccccc2c1S(=O)(=O)O,-1.436726034,0.431553117,84.50754499,83.40904206,9.511047483,3.429100032,-3.784676955,-4.313998619,-0.36
OCC(CO)(CO)COCC(CO)(CO)CO,-2.240709689,0.370524505,9.184769766,267.0999469,3.797443209,-3.070399858,1.405337051,0.718702955,-0.19
Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,-2.415913778,0.488969239,27.22273761,211.9342388,2.379625255,2.686399966,-2.540349512,-2.772603402,-0.619788758
CCC(C)NC(C)CC,-0.470003629,0.436468194,40.36988053,18.01075068,5.170437494,2.173000067,-1.98679847,-3.503859603,-0.05
O=C(O)C(O)(c1ccccc1)c1ccccc1,-1.526056303,0.439943948,102.0434991,110.5116134,5.808093344,2.007100031,-2.965291825,-3.639998619,-0.7
N1C(NCC1)=S,-0.59161267,0.798487153,49.68795926,36.02150137,0.44210616,-0.535899937,-0.40951102,-0.565089359,-0.02
Oc1nc(nc(n1)O)O,-1.85629799,0.712333822,0,178.4066181,0.000413501,-1.011600047,-1.011256089,-1.209665274,-0.48
CCN(CC)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1,-1.85629799,0.325165548,106.5523737,138.7808543,10.93156077,3.167600043,-3.827524526,-4.53629109,-0.31
Nc1ccc(S(=O)(=O)O)cc1,-1.570052386,0.706178721,43.5514944,116.3062295,0.084826085,0.51550005,-1.401805298,-1.521249181,-0.47
O=C([O-])CNCP(=O)(O)O,-1.957951644,0.760810766,10.06833208,164.3051358,3.840039253,-2.538899913,1.013160265,0.72960181,-0.3
CN(C=O)C,-1.029619417,1.487587773,27.78807619,28.26924093,0.074480218,-0.29559996,-0.253042481,-0.957089359,-0.11
CCO[P](=O)(OCC)OCC,-1.664834776,0.672447859,56.81624395,41.0281086,1.832542776,2.203999996,-1.530897739,-2.583714437,-0.096910013
NC(N)=S,-0.59161267,1.298913754,45.47655057,65.79437494,2.055751197,-0.811300099,0.041604636,0.203789105,-0.7
O=C(NP(=O)(OC)SC)C,-1.456682925,0.743537728,69.8711884,65.6698718,0.575925943,1.24000001,-0.898898233,-0.471102152,-1.52
Nc1ccc2c(O)cc(cc2c1)[S](O)(=O)=O,-1.792908808,0.485499423,58.17367064,158.9895727,0.840182359,1.374300066,-2.320570997,-2.146614619,-0.698970004
CCN(CC)c1cc2[o+]c3cc(N(CC)CC)c(C)cc3c(-c3ccc(S(=O)(=O)O)cc3S(=O)(=O)O)c2cc1C,-2.283789558,0.194317353,166.5614336,182.5740582,10.91137774,6.336740061,-6.419524401,-4.533237463,-0.24
COCN(COC)c1nc(N(COC)COC)nc(N(COC)COC)n1,-2.468099531,0.187077642,95.97696763,125.7288577,3.64598606,-0.085800022,-1.660252826,-3.139446532,0.09
O=[N+]([O-])c1cc(c(O)c(c1)[N+](=O)[O-])[N+](=O)[O-],-2.415913778,0.488969239,27.22273761,211.9342388,2.379625255,2.686399966,-2.540349512,-2.772603402,0.1
c1ccoc1,-0.78845736,0.989538781,42.43148186,9.507346286,0.024180823,1.279599994,-1.397485959,-1.385501844,0.05
COP(=O)(OC)OC,-1.664834776,0.924699151,49.21264874,41.0281086,0.012877432,1.033699989,-0.778653287,-1.343478772,-0.52
O=C(c1ccc(O)cc1O)c1ccc(O)cc1O,-1.945910149,0.412631161,68.36211207,195.8782997,1.747514057,1.740000002,-2.798451931,-2.551935723,-0.48
CS(C)=O,-0.59161267,1.850091322,33.51347765,22.15647604,0.100773608,-0.00529999,-0.374997362,-0.912551409,0.1
O=C(O)C(Cl)(Cl)Cl,-1.037410417,1.068365116,118.3558067,67.82827019,0.991242227,1.441199943,-1.93305891,-2.225611484,-0.15
O=C(OC)c1c(ccs1)S(=O)(=O)NC(=O)Nc2nc(nc(n2)C)OC,-2.34313185,0.308687326,107.7908389,201.3749187,1.452428567,0.547120023,-2.586425501,-2.435167443,-0.1
OC(=O)c1ccccc1Cl,-1.165429462,0.74782524,84.64968991,67.82827019,5.29696068,2.038199998,-2.615062603,-3.531512694,0
CCC[N+](CCC)(CCC)CCC,-0.470003629,0.294671813,53.86176137,0,0.047106418,3.443200052,-1.686771062,-1.012959871,-0.52
CC(=O)N(C)c1ccccc1,-1.029619417,0.675421787,72.06421598,28.26924093,3.781939603,1.669299997,-2.163885157,-3.174720958,-0.3
Nc1ccc2cc(cc(O)c2c1)[S](O)(=O)=O,-1.792908808,0.485499419,58.17367064,158.9895727,0.840182359,1.374300066,-2.320570997,-2.146614619,-0.301029996
S=C1Nc2ccccc2S1,0.17075492,0.482380901,119.6240417,18.01075068,3.128573607,2.489099935,-2.921963964,-2.998777433,-0.096910013
CCO[P](S)(=S)OCC,-0.741270456,0.553518645,110.5276327,13.84326051,0.032462095,2.213699977,-1.743639411,-1.410172402,-0.301029996
CN(C)[P](=O)(N(C)C)N(C)C,-1.248410654,0.671318069,58.46641764,20.26321783,1.832542776,0.779300064,-1.428712354,-2.583714437,-1.301029996
CN(c1ccccc1)C(=O)C,-1.029619417,0.675421787,72.06421598,28.26924093,3.781939603,1.669299997,-2.163885157,-3.174720958,0.07
O=P(O)(O)OCC(Cl)(Cl)Cl,-1.548987026,0.74811456,125.1816162,101.4485489,0.952577751,1.465899937,-1.894461326,-2.206000897,0.08
ClC(C(=O)O)(Cl)Cl,-1.037410417,1.068365116,118.3558067,67.82827019,0.991242227,1.441199943,-1.93305891,-2.225611484,0.13
CCN(CC)CCO,-1.029619417,0.783303286,23.96752155,45.80765705,0.498895039,0.320500061,-0.705505603,-1.936325023,-0.21
O=C(O)C1CC=CCC1C(=O)O,-1.757857918,0.623444163,25.84130737,135.6565404,0.399761979,0.738000065,-1.333459458,-1.862267332,-0.7
O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,-2.174751721,0.521002751,39.37638882,192.0735056,2.048442755,1.514400043,-2.072944578,-2.66123819,-0.4
CCCCCCO,-0.78845736,0.895185,18.96333122,42.68334316,2.518931256,1.559000038,-1.430624877,-2.817114128,-0.27
O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1,-2.596284028,0.250704182,95.47426075,312.7820954,0.003082339,1.119699999,-2.939882537,-1.285518813,-0.537602002
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,-1.792908808,0.485499423,58.17367064,158.9895727,0.840182359,1.374300066,-2.320570997,-2.146614619,-0.7
Nc1c(N=Nc2ccc(S(=O)(=O)CCOS(=O)(=O)O)cc2)c(S(=O)(=O)O)cc2c1C(=O)/C(=N\Nc1ccc(S(=O)(=O)CCOS(=O)(=O)O)cc1)C(S(=O)(=O)O)=C2,-3.196278416,0.139021445,158.0937034,565.2722653,0.04719701,1.010200036,-4.140783404,-1.447248728,0.041392685
NC(N)=NC#N,-1.223775432,1.138709821,18.07201174,113.6392603,0.8451271,-1.259120081,0.156319017,-0.310692054,-0.522878745
CC(C)C12C=CC(C)(CC1)C(C(=O)O)C2C(=O)O,-1.757857918,0.415632449,52.31692016,135.6565404,5.573143803,2.400300086,-2.800542545,-3.590750686,-0.3
Nc1cccc(N(CCO)CCO)c1,-1.526056303,0.447769368,47.62989368,121.3881877,0.310094096,0.059800088,-1.078777792,-1.786860931,-0.4
OC(=O)C(Cl)(Cl)Cl,-1.037410417,1.068365116,118.3558067,67.82827019,0.991242227,1.441199943,-1.93305891,-2.225611484,0
